timestamp,chunk_size,overlap,rewrite,rerank,k_first,top_n,hit_rate,mrr
2026-06-18T18:10:20.292986,200,100,True,True,8,3,1.0000,0.7222
2026-06-18T18:11:26.544402,200,0,False,False,8,3,0.1667,0.1667
2026-06-18T18:14:56.074054,200,0,False,False,5,2,0.1667,0.1667
2026-06-18T18:15:29.097812,200,50,True,True,5,2,0.5000,0.4167
